Username,Handle,Timestamp,Comments,Likes,Retweets,Text
LVRenoan,@LVRenoan,2021-07-01T18:30:19.000Z,"It's not just your EV stock today, it's basically all of them ;)

$FSR $HYLN $TSLA $WKHS $RIDE $NKLA $SOLO $NIO $GOEV $CCIV $XPEV $PTRA $LI",,2,1
BeerMoniesTrading,@MoniesBeer,2021-06-30T14:41:09.000Z,$TSLA let’s goooo bulls,,,
DOMΞNCLATURΞ,@Domenclature,2021-07-01T03:24:33.000Z,"Very Interesting. 

$APPL $TSLA $AMC $GME",,,
Prime,@MarketMoves4,2021-06-30T13:16:09.000Z,Today’s watchlist $AAPL $QQQ $BYND $TSLA $SPY,,,
Logan Roy,@Ilikeitlike777,2021-06-29T15:04:08.000Z,"$IFBD pure gold at this cheap point
low floatergreat chart setup


$GME $AMC $WISH $ATOS $EXPR $CLNE $TSLA $NIO $ALF $MMAT $JZXN $RSLS $NTLA $BSQR $MRIN $FB $BAOS $CERE $XELA",,3,2
Money Robber Picks,@MoneyRobberPick,2021-06-30T12:41:14.000Z,"Good morning all, this thing can move. 

$stocks $OTC $COWI $GDET $GEGI $EFIR $TSLA $AAPL $DIS $PLAID $CBDL",1,,5
Kansas Cash,@Kansas_Cash,2021-07-01T16:36:08.000Z,$SPY $AAPL $TSLA These cards practically complete themselves before a 3 day weekend.,,,
,@LSNA,2021-07-01T14:26:41.000Z,$TSLA long $674.89 S/L $665 exit $720 & $780,,,
Trader Oak,@Trader_Oak,2021-06-30T17:32:22.000Z,"what the fuck is a Viking Ship Pattern

$TSLA",,1,6
TheBullishMarket,@The_Bullish_M,2021-06-30T14:03:12.000Z,"$OCUP charging to make a move up!

$CLOV $SOFI $WKHS $BB $CLNE $SPCE $AMC $SPY $GME $AMD $ET $PLTR $TSLA $CLF $MU $NIO $MRIN $TLRY $UWMC $PSFE $NVDA $RKT $NOK $AAPL $BODY $BABA $SI $XELA",,,
Kim,@yoitskimpoy,2021-07-01T08:00:10.000Z,$CCIV it’s about to explode!!! Here’s a peak to $30 hurry up and join us! $40’s next month? The hype is back boys and gals! She’s happy again!!! $TSLA $NIO $FSR $LI,1,1,2
BigBadBrad,@BradBealBurner,2021-07-02T00:39:04.000Z,"Update: $SPOT bounced right off the highlighted support level at 266.3.
Consolidating after 7 straight green days. 
The gap fill remains at 290. Next step is closing above the 200MA at 280. 

$SPY $AMZN $AAPL $BA $NFLX $TSLA $AMD $ROKU $NVDA $FB $TWLO $PYPL $DOCU $CRWD $ETSY $SQ",,,2
#1 Day Trading Stocks Coach,@John_StockCoach,2021-07-01T09:54:48.000Z,"6-29-2021 

$311,710
Results – Day Trading

Stocks (Day) -

Stocks: $NVDA $NFLX $TSLA $FDX $ETSY $COIN $GME 
$NTLA $AMC $VEL $SWKS 

29 Trades, 23 Wins, 6 Break-Even

Call me - 1-949-218-4114

Link: https://daytradingcoachlp1.com

https://DayTradingCoachLP2.com

Skype me- 1-949-204-0920",1,,1
SelfMadeJR666,@Jr666Made,2021-07-01T00:03:31.000Z,YOO lol  my Brother Paula is a $NIO hater so he’s currently in Shanghai where he works for $LRCX wow Hater $TSLA vs $NIO  Is Real ,1,,1
Jack moris,@Jackmor98705125,2021-06-30T17:59:38.000Z,"$CBBT - This GEM has more potential. join us

$SONM $TBLT $SPCB $DGLY $CBBT $SONM $TBLT $SPCB $DGLY $CBBT $ENZC $VTGN $VERB $AIM $KIQ $TSLA $AAPL $OZSC $ATVK",,1,2
Alpine_country_reviews,@AlpineReviews,2021-07-01T13:06:28.000Z,$FTEG let’s push it to .002 cmon people http://integrityhealthcorp.com $HCMC $PLYZ $ZOM $AITX $BBRW $TSLA $F $SHOP $SHOP.CA,,,4
judidh,@judidh6,2021-06-29T19:38:22.000Z,"$RCAT ThinkEquity 8$ Price target!!Huge potential software runner…The next $MRIN $ $BSQR STILL CHEAP!!!

$IDEX $BBW $NGCA $ATH $AHT $HBI $BHF $WISH $TRCH $PLTR $TSLA $GM $NIO $FSR $CLOV $IVR $DBGI $LEDS $DKNG $MSTR $TR $VXRT  $IVR $F $AMD $NVDA $ALPP $T $NIO $ONDS $AUUD $MARA",,6,8
Pontiac,@Pontiac924,2021-06-30T18:19:42.000Z,"$FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR $SLV $XOM $WMT $CCL $HD $TSLA $XLE $SPY $IWM $ES $WPX $BA $SPG $MCD $MFA $HTZ $AAPL $CHWY $QQQ $C $ES $AMC $DIS $ZNGA $ZM $PLNT $MGM $AMD $AMZN $XSPA 

Alerts

Update

Watchlist, Chart

CHATROOM 
Welcome",,1,1
Jhonwick,@Jhonwic65,2021-06-30T10:40:04.000Z,"$SOL now #1 by a long shot as most searched in past 72 hours. 

$AMC $MGM $EEGI $HMBL $PHIL $ENZC $KYNC $ADA $ETH $TSLA $GGII $VXIT $ENZC $AMC $GME",,1,1
George Kaparakos,@GKaparakos,2021-06-28T16:16:04.000Z,"$WISH moving higher 7.91% up to over 15.00 from 14.74
50% $WISH Fibonacci Retracement to $20.00  
$AMC $GME $ALF $MRIN $VIAC 
$RBLX $WKHS $PLTR $AAPL $MSFT $FB $AMZN $NFLX $GOOGL $NVDA $MU $AMD $INTC $SMH $QQQ $SPY $TSLA $GM $F $MRNA $PFE $FCX $X",,,
traderZ,@traderZ59487960,2021-06-30T03:43:02.000Z,$TSLA building a bull flag on the daily.,,,1
♛ European Investors ♛,@EuropeanTraders,2021-07-01T19:39:38.000Z,Spanish hotel bookings bounce back to pre-pandemic levels https://traveldailynews.com/post/spanish-hotel-bookings-bounce-back-to-pre-pandemic-levels-leading-industry-recovery-ahead-of-major-european-markets… $AMC $LOTZ $SNDL $BBIG $MNMD $DAL $UAL $TSLA $NKLA $JBLU $NIO $PENN $DKNG $SPY $MGM $GME $APPL $BYD $CLOV $QQQ $NDX #DAX30 #CAC $CCIV $SAVE $STEM $CCL $RCL $NCLH $AHT,,,1
SharkTrader,@Shark_Trader21,2021-06-29T22:29:51.000Z,$TSLA Double bottom visible on weekly chart.,,,
George Kaparakos,@GKaparakos,2021-06-30T14:26:28.000Z,"$AMD Bang Upside. 
$SMH $MU $NVDA $TSM $QCOM $NXPI $SWKS $AAPL $MSFT $FB $AMZN $NFLX $GOOGL $QQQ $SPY $TSLA $F $GM $NIO $CAT $FCX $X $BA $MRNA $PFE $GBTC $ETHE 
$GLD $SLV $GDX $XLE $XLF $IWM
$AMC $GME $WISH $MRIN $ALF",,,2
XRP Rambo,@RamboOnWallSt,2021-06-30T01:35:12.000Z,Makes you think $TSLA,,,
DP,@dpdp1979,2021-07-01T18:36:03.000Z,"$spx $spy $es Can this “buy the dip” thing still happen since the market keeps ONLY going up for several days now? Asking for a friend. cc: 
@federalreserve
 @blackrock
 $tsla $nio $baba",,,
SeanDekmar,@dekmartrades10,2021-06-30T13:13:22.000Z,"Wall Street Bets Most Watched Stocks:

$BSQR $CERE $XELA $MRIN $AUUD $VERB $SOFI $WKHS $CLOV $WISH $AMC $PLTR $NVDA $SPCE $TSLA $GME $NIO $BB $CLNE $CUEN $OCUP",,,1
Trading.,@Trading42155749,2021-07-01T21:30:23.000Z,"*Make as much as you want, i've made 35K+ last week. Best room on the net  
,,
 $AAPL $TSLA $GEVO $QQQ $MSFT $AMD $UAL $PLUG $INO $PTON $CSCO $INTC $NVDA $SQQQ $TQQQ $SPCE $AZN $FMCI $AAL $BA $NKLA $LULU $TIF $TRIL $ITCI $NNOX $AEO $INSG $NLS $WKHS $WORK",,,1
Pontiac,@Pontiac924,2021-06-30T17:25:40.000Z,"Another great week! I made over 66k, A big thank you 

$POLA $AAPL $NETE $TSLA $OEG $SPI $AAL $QQQ $ADXS $CBAT $AMD $SRNE $MSFT $VXRT $WKHS $SUNW $SPAQ $LCA $SBE $RAD $NETE $NKLA $SPY $GRAF $SHLL $PLUG $COST  $PENN $CODX $SSP $JBL $DRI $FUBO",,1,1
Faye Henry,@FayeHen29345011,2021-06-30T15:34:23.000Z,"$ewz $fsr $tell $gevo $open $nio $tsla $aa $vale 
Starting with $3k,,.,’ down to $1k. back up to $30k  Lot of thanks to this chat-room.!!~  https://discord.com/invite/Rf9wtPZGgc…",,,
James Cooper,@Alwaysatrader,2021-07-01T11:00:43.000Z,"One of the best places to be if you are serious about trading 

Let us guide you & help you make consistent Progress

GET DAILY ANALYSIS & Alerts

~Details in Bio~

$SPX $TRCH $MU $ROKU $PLUG $NVDA $AMZN $SNOW $AAPL $FB $TSLA $AMC $QQQ $SPOT $NFLX $PYPL $SPCE $GME $DOCS",,,
♛ European Investors ♛,@EuropeanTraders,2021-07-01T19:42:52.000Z,Portugal’s International Hotel Guests Surpass Volume of Domestic Travellers For The First Time Since The Pandemic https://hospitalitynet.org/news/4105239.html… $AMC $LOTZ $SNDL $BBIG $MNMD $DAL $UAL $TSLA $NKLA $JBLU $AHT $PENN $DKNG $SPY $MGM $GME $APPL $BYD $CLOV $QQQ $NDX #DAX30 #CAC $CCIV $SAVE,,,
